Abbe, Ernst	http://de.wikipedia.org/wiki/Ernst_Abbe	: Saalgasse (18), Neugasse (23), Fürstengraben (25), Schillergäßchen (2), Leutergäßchen (Gebäude wurde infolge der Erweiterung des Zeiss-Werkes 1912 abgetragen und in der Mühlenstr. originalgetreu wiederaufgebaut); 	: 1. (vor 1928) 
Achenbach, R.		: Jenergasse	: (1987) Jenergasse 9
Amo, Anton Wilhelm	http://de.wikipedia.org/wiki/Amo	: Jenergasse	: (1987) Jenergasse 9
Amsdorf, Nikolaus von		: Schloß	: (1858) Schloß, Gebäude abgerissen 1904/05; E
Andersen, Hans Christian	http://de.wikipedia.org/wiki/Hans_Christian_Andersen	: unbekannt	: 1. (vor 1928) Löbdergraben 6; 2. (1988) Markt 19 (= Vorderhaus)
Apelt, Ernst Friedrich	http://de.wikipedia.org/wiki/Ernst_Friedrich_Apelt	: Unterm Markt	: (1929) Löbderstr. 7, Gebäude 1945 zerstört
Arndt, Ernst Moritz	http://de.wikipedia.org/wiki/Ernst_Moritz_Arndt	: Leutragasse (7)	: (1858) ebd., Gebäude 1945 zerstört; E
Arumäus, Dominicus		: H. d. Kirche ("Wedelei")	: 1. (1858) ebd., Gebäude 1880 abgerissen; 2. (nach 1991) Coll. Jen.
Asmus		: Krautgasse (6)	: (1858) ebd., verloren vor 1934
Ast, Georg Anton Friedrich		: Krautgasse (6)	: (1858) ebd., verloren vor 1934
Auerbach, Felix:	http://de.wikipedia.org/wiki/Felix_Auerbach	: Unt. Löbdergraben, Forstweg, Mozartstr. (1), Schaefferstr. 9: 1. (nach 1945) Helmholtzweg 5 (Physikalisches Institut); 2. (1983) Schaefferstr. 9
Augusti, Johann Christian Wilhelm		: Lutherplatz, neben "Schwarzer Bär"; 	: 1. (1858) ebd., Gebäude vor 1934 abgerissen; 2. (vor 1928) Rathausgasse 1, Gebäude 1945 zerstört
Bach, Johann Nikolaus	http://de.wikipedia.org/wiki/Johann_Nikolaus_Bach_%28Komponist%29	: Jenergasse (6)	: (1989) ebd.
Bachmann, Carl Friedrich		: Markt (17), 	: 1. (1858) ebd., verloren vor 1934; E.; 2. (1929) Schillerstr. (Mineralogisches Institut), Gebäude 1945 zerstört
Baedecker, Karl		: Marienstr. (10), Hilgenfeldweg	: (nach 1945) Helmholtzweg 5 (Physikalisches Institut)
Baner (auch Banner), Johan	http://de.wikipedia.org/wiki/Johan_Ban%C3%A9r	: unbekannt	: (nach 1934) Markt ("Zur Sonne"), verloren 1973
Bardeleben, Karl Heinrich von		: V. d. Neutor, Teichgraben, Am Landgrafen, Kahlaische Str. 2, Forstweg 25	: (1977) Teichgraben 7 (Anatomisches Institut)
Batsch, August Johann Georg Karl	http://de.wikipedia.org/wiki/Batsch	: Rathausgasse (1)	: 1. (1858) ebd., Gebäude 1945 zerstört; 2. (1929) Goetheallee 28 (Inspektorhaus des Bot. Gartens), verloren, Erneuerung nach 1991
Baumgarten-Crusius, Ludwig Friedrich Otto	http://de.wikipedia.org/wiki/Ludwig_Friedrich_Otto_Baumgarten-Crusius	: Löbdergraben (34)	: (1858) ebd., verloren nach 1934
Bebel, August	http://de.wikipedia.org/wiki/August_Bebel	: Weimar-Geraer-Bahnhofstr. (1), Wagnergasse 25 (,Kaiserhof")	: 1. (nach 1945) Engelplatz ("Zum goldenen Engel"), Gebäude 1984 abgerissen; 2. (1991) Wagnergasse 25
Becher, Johannes R.	http://de.wikipedia.org/wiki/Johannes_R._Becher	: Sophienstr. 9 und 22	: (1961) Leninstr. 9
Bechstein, Johann Matthäus	http://de.wikipedia.org/wiki/Johann_Matth%C3%A4us_Bechstein	: unbekannt	: (nach 1934) Zwätzengasse 18, erneuert 1989
Beier, Adrian		: H. d. Kirche (5/6), Leutragasse, Jenergasse ("Zum grünen Schilde") (Eigentümer)	: (nach 1991) Jenergasse 13
Beireis, Gottfried Christoph	http://de.wikipedia.org/wiki/Gottfried_Christoph_Beireis	: Löbdergasse (4)	: (1858) ebd., Gebäude 1945 zerstört
Bergemann-Könitzer, Martha		: Villengang 3	: (nach 1991) ebd.
Berger, Hans	http://de.wikipedia.org/wiki/Hans_Berger	: Ob. Philosophenweg 3	: (nach 1945) Philosophenweg 3 (Klinik für Psychiatrie und Neurologie)
Bernhard von Weimar	http://de.wikipedia.org/wiki/Bernhard_von_Sachsen-Weimar	: unbekannt	: (vor 1934) Steinweg 38, verloren vor 1934, E
Bernstein, Georg Heinrich		: unbekannt	: (vor 1928) Johannisstr. 5, Gebäude 1945 zerstört
Bezold, Albert von	http://de.wikipedia.org/wiki/Albert_von_Bezold	: H. d. Rinne	: (vor 1934) Teichgraben 8 (Physiologisches Institut), Gebäude 1945 zerstört
Biedermann, Wilhelm		: Botzstr. 4	: (vor 1934) Teichgraben 8 (Physiologisches Institut), Gebäude 1945 zerstört
Bieglein-Kreußler, Johann Wolfgang		: Johannisgasse (26)	: (nach 1990) Weigelstr. 7
Bielcke, Johann		: Johannisgasse (26)	: (nach 1990) Weigelstr. 7
Binswanger, Otto	http://de.wikipedia.org/wiki/Otto_Binswanger	: Philosophenweg (Direktorgebäude der Klinik)	: (nach 1945) Philosophenweg 3 (Klinik für Psychiatrie und Neurologie)
Birken, Sigmund		: unbekannt	: (nach 1991) Coll. Jen.
Bismarck, Otto Fürst von	http://de.wikipedia.org/wiki/Bismarck	: Johannisgasse (5?), Lutherplatz 2 ("Schwarzer Bär")	: 1. (vor 1934) "Schwarzer Bär", verloren, erneuert nach 1991; 2. (vor 1934) Jenergasse 14, verloren
Blumenbach, Johann Friedrich	http://de.wikipedia.org/wiki/Blumenbach	: vermutlich Johannisgasse (16)	: 1. (1858) Markt 3, Gebäude 1945 zerstört; 2. (nach 1991) Johannisstr. 16
Böker, Hans Heinrich		: Kernbergstr. 42	: (1977) Teichgraben 7 (Anatomisches Institut)
Bötticher, Georg		: Jenergasse (6)	: (1989) ebd.
Bojanus, Ludwig Heinrich von		: unbekannt	: (1858) Unterlauengasse 14, Gebäude um 1900 abgerissen, neue Anbringung: Unterm Markt 12a, verloren
Bose, Johann Andreas		: Löbdergasse (6)	: (1858) Löbdergasse 20/21, neue Anbringung: (1928) Rathausgasse l, Gebäude 1945 zerstört; E
Brandis, Carl Georg		: Lutherstr. 117	: (vor 1928) Bibliotheksplatz (UB), Gebäude 1945 zerstört.; E
Braus, Hermann Daniel Abraham Otto		: unbekannt	: (1977) Teichgraben 7 (Anatomisches Institut)
Brehm, Alfred Edmund	http://de.wikipedia.org/wiki/Alfred_Brehm	: Löbdergraben, Saalgasse (4)	: (vor 1934) Saalstr. 4, erneuert 1983, verloren 1988, erneuert 1990
Brendel, Zacharias (sen.)		: unbekannt	: (nach 1991) Coll. Jen.
Brentano, Clemens	http://de.wikipedia.org/wiki/Clemens_Brentano	: unbekannt	: (1858) Steinweg 27, verloren vor 1934; E
Brück (eigtl. Heinse, auch gen. Potanus), Gregor von	http://de.wikipedia.org/wiki/Gregor_Br%C3%BCck	: Am Kreuz (4)	: (1858) ebd., Gebäude 1945 zerstört
